"Model","Accuracy","Precision","Recall","F1_Score"
"XGB GRID PROC",0.867175896456609,0.647113347457627,0.740006056935191,0.690449279457474
"Bagging",0.882058743293626,0.735626194198367,0.641278013325257,0.685219642423752
"RF_GRID_DCutoff_PROC",0.867782122397017,0.640089977505624,0.775590551181102,0.701355607284677
"RF Opti GRID",0.87784547300779,0.762331838565022,0.566323440339188,0.6498696785404
"Boosting XGB",0.876633021126974,0.744972931167827,0.58343428225318,0.654381793478261
